,api_uri,district,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
277,https://api.propublica.org/congress/v1/members/M001196.json,6,,,CongressmanSethMoulton,,Seth,/m/0sgh587,M001196,,Moulton,,2,2.02,2018,D,https://moulton.house.gov/category/news-stories/press-releases/feed/,4,MA,0,99,teammoulton,http://moulton.house.gov,93.81
278,https://api.propublica.org/congress/v1/members/M001197.json,2,,,RepMcSally,,Martha,/m/027fybv,M001197,,McSally,,0,0.00,2018,R,https://mcsally.house.gov/rss.xml,4,AZ,0,99,RepMcSally,https://mcsally.house.gov,95.96
279,https://api.propublica.org/congress/v1/members/M001198.json,1,marshall.house.gov,,rogermarshallmd,,Roger,/g/11c4btdtm1,M001198,,Marshall,,0,0.00,2018,R,https://marshall.house.gov/rss.xml,2,KS,0,99,,https://marshall.house.gov,97.98
280,https://api.propublica.org/congress/v1/members/M001199.json,18,mast.house.gov,,repbrianmast,,Brian,/g/11cs5xxx_f,M001199,,Mast,,0,0.00,2018,R,https://mast.house.gov/rss.xml,2,FL,0,99,repbrianmast,https://mast.house.gov,95.96
281,https://api.propublica.org/congress/v1/members/M001200.json,4,mceachin.house.gov,,RepMcEachin,,A.,/m/0979v6,M001200,,McEachin,Donald,0,0.00,2018,D,https://mceachin.house.gov/rss.xml,2,VA,0,99,RepMcEachin,https://mceachin.house.gov,96.97
282,https://api.propublica.org/congress/v1/members/M001201.json,10,mitchell.house.gov,,reppaulmitchell,,Paul,,M001201,,Mitchell,,0,0.00,2018,R,,2,MI,0,99,RepPaulMitchell,https://mitchell.house.gov,97.98
283,https://api.propublica.org/congress/v1/members/M001202.json,7,stephaniemurphy.house.gov,,RepStephMurphy,,Stephanie,/g/11c48s1mnv,M001202,,Murphy,,2,2.02,2018,D,,2,FL,0,99,RepStephMurphy,https://stephaniemurphy.house.gov,91.75
284,https://api.propublica.org/congress/v1/members/N000002.json,10,nadler.house.gov,,CongressmanNadler,78291598977,Jerrold,/m/03tk11,N000002,,Nadler,,4,4.04,2018,D,http://nadler.house.gov/rss.xml,28,NY,0,99,RepJerryNadler,http://nadler.house.gov,95.79
285,https://api.propublica.org/congress/v1/members/N000015.json,1,neal.house.gov,,325642654132598,325642654132598,Richard,/m/028vm4,N000015,,Neal,E.,1,1.01,2018,D,,30,MA,0,99,RepRichardNeal,https://neal.house.gov,94.90
286,https://api.propublica.org/congress/v1/members/N000127.json,8,nolan.house.gov,,UsRepRickNolan,388085277945339,Rick,/m/0dgfyp,N000127,,Nolan,,1,1.01,2018,D,http://nolan.house.gov/rss.xml,6,MN,0,99,USRepRickNolan,http://nolan.house.gov,94.90
287,https://api.propublica.org/congress/v1/members/N000147.json,79,norton.house.gov,,CongresswomanNorton,61731840657,Eleanor,/m/01s_vp,N000147,,Norton,Holmes,,,2018,D,https://norton.house.gov/rss.xml,28,DC,,0,EleanorNorton,https://norton.house.gov,
288,https://api.propublica.org/congress/v1/members/N000179.json,32,napolitano.house.gov,,RepGraceNapolitano,163108420409412,Grace,/m/024v0s,N000179,,Napolitano,F.,1,1.01,2018,D,http://napolitano.house.gov/rss.xml,20,CA,0,99,GraceNapolitano,http://napolitano.house.gov,95.92
