domain,first_name,member_id,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
www.heitkamp.senate.gov,Heidi,H001069,Heitkamp,,0,0.0,2018,D,5,ND,0,72,SenatorHeitkamp,http://www.heitkamp.senate.gov/public,80.56
www.harris.senate.gov,Kamala,H001075,Harris,,0,0.0,2022,D,1,CA,0,72,,https://www.harris.senate.gov,97.22
,Margaret,H001076,Hassan,,0,0.0,2022,D,1,NH,0,72,Senatorhassan,https://www.hassan.senate.gov,97.22
www.inhofe.senate.gov,James,I000024,Inhofe,M.,0,0.0,2020,R,25,OK,0,72,InhofePress,http://www.inhofe.senate.gov,100.0
,Johnny,I000055,Isakson,,3,4.17,2022,R,13,GA,0,72,SenatorIsakson,http://www.isakson.senate.gov,98.55
www.ronjohnson.senate.gov,Ron,J000293,Johnson,,0,0.0,2022,R,7,WI,0,72,SenRonJohnson,https://www.ronjohnson.senate.gov,100.0
www.klobuchar.senate.gov,Amy,K000367,Klobuchar,,0,0.0,2018,D,11,MN,0,72,,http://www.klobuchar.senate.gov,97.22
king.senate.gov,Angus,K000383,King,,0,0.0,2018,I,5,ME,0,72,SenAngusKing,http://www.king.senate.gov,86.11
kaine.senate.gov,Tim,K000384,Kaine,,1,1.39,2018,D,5,VA,0,72,SenKaineOffice,http://www.kaine.senate.gov,97.18
,John,K000393,Kennedy,,0,0.0,2022,R,1,LA,0,72,SenJohnKennedy,https://www.kennedy.senate.gov,95.83
www.leahy.senate.gov,Patrick,L000174,Leahy,J.,0,0.0,2022,D,43,VT,0,72,SenatorLeahy,https://www.leahy.senate.gov,98.61
www.lankford.senate.gov,James,L000575,Lankford,,0,0.0,2022,R,3,OK,0,72,SenatorLankford,https://www.lankford.senate.gov,98.61
www.lee.senate.gov,Mike,L000577,Lee,,0,0.0,2022,R,7,UT,0,72,SenMikeLee,https://www.lee.senate.gov/public,95.83
markey.senate.gov,Edward,M000133,Markey,J.,1,1.39,2020,D,5,MA,0,72,SenMarkey,http://www.markey.senate.gov,97.18
www.mccain.senate.gov,John,M000303,McCain,,3,4.17,2022,R,31,AZ,0,72,SenJohnMcCain,http://www.mccain.senate.gov,97.1
,Mitch,M000355,McConnell,,0,0.0,2020,R,33,KY,1,72,McConnellPress,http://www.mcconnell.senate.gov,97.22
menendez.senate.gov,Robert,M000639,Menendez,,0,0.0,2018,D,12,NJ,0,72,SenatorMenendez,https://www.menendez.senate.gov,97.22
