api_uri,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
https://api.propublica.org/congress/v1/members/C001098.json,cruz.senate.gov,,SenatorTedCruz,315496455229328,Ted,/m/07j6ty,C001098,,Cruz,,3,4.17,2018,R,https://www.cruz.senate.gov/rss/,5,TX,0,72,SenTedCruz,https://www.cruz.senate.gov,95.65
https://api.propublica.org/congress/v1/members/C001113.json,,,SenatorCortezMasto,,Catherine,/m/02rtp9t,C001113,,Cortez Masto,,0,0.00,2022,D,,1,NV,0,72,sencortezmasto,https://www.cortezmasto.senate.gov,97.22
https://api.propublica.org/congress/v1/members/D000563.json,www.durbin.senate.gov,,SenatorDurbin,180436795325335,Richard,/m/01xcd1,D000563,,Durbin,J.,2,2.78,2020,D,,21,IL,0,72,SenatorDurbin,http://www.durbin.senate.gov,95.71
https://api.propublica.org/congress/v1/members/D000607.json,www.donnelly.senate.gov,,senatordonnelly,168059529893610,Joe,/m/0gmx64,D000607,,Donnelly,,3,4.17,2018,D,http://www.donnelly.senate.gov/rss/feeds/?press,5,IN,0,72,SenDonnelly,http://www.donnelly.senate.gov,89.86
https://api.propublica.org/congress/v1/members/D000618.json,www.daines.senate.gov,,SteveDainesMT,185361254941832,Steve,/m/03qlc5t,D000618,,Daines,,0,0.00,2020,R,,3,MT,0,72,SteveDaines,https://www.daines.senate.gov,98.61
https://api.propublica.org/congress/v1/members/D000622.json,duckworth.house.gov,,SenDuckworth,112300955610529,Tammy,/m/09vqjr,D000622,,Duckworth,,0,0.00,2022,D,http://duckworth.house.gov/index.php/media-center/press-releases?format=feed&amp;type=rss,1,IL,0,72,SenDuckworth,https://www.duckworth.senate.gov,97.22
https://api.propublica.org/congress/v1/members/E000285.json,,,mikeenzi,23068049436,Michael,/m/021ph1,E000285,,Enzi,B.,0,0.00,2020,R,http://www.enzi.senate.gov/public/index.cfm/rss/feed,21,WY,0,72,SenatorEnzi,http://www.enzi.senate.gov,98.61
https://api.propublica.org/congress/v1/members/E000295.json,,,senjoniernst,351671691660938,Joni,/m/0gg4wkg,E000295,,Ernst,,0,0.00,2020,R,,3,IA,0,72,SenJoniErnst,http://www.ernst.senate.gov/public,100.00
https://api.propublica.org/congress/v1/members/F000062.json,www.feinstein.senate.gov,,senatorfeinstein,334887279867783,Dianne,/m/01gqws,F000062,,Feinstein,,24,33.33,2018,D,http://www.feinstein.senate.gov/public/?a=rss.feed,25,CA,0,72,SenFeinstein,http://www.feinstein.senate.gov,95.83
https://api.propublica.org/congress/v1/members/F000444.json,flake.senate.gov,,senatorjeffflake,,Jeff,/m/024p7j,F000444,,Flake,,1,1.39,2018,R,http://www.flake.senate.gov/public/?a=rss.feed,5,AZ,0,72,JeffFlake,http://www.flake.senate.gov/public,97.18
https://api.propublica.org/congress/v1/members/F000457.json,,,senatoralfranken,945480788871137,Al,/m/01lct6,F000457,,Franken,,0,0.00,2020,D,https://www.franken.senate.gov/rss/,9,MN,0,72,SenFranken,https://www.franken.senate.gov,100.00
https://api.propublica.org/congress/v1/members/F000463.json,fischer.senate.gov,,senatordebfischer,531623656856934,Deb,/m/0c4cp0,F000463,,Fischer,,0,0.00,2018,R,,5,NE,0,72,SenatorFischer,http://www.fischer.senate.gov,100.00
https://api.propublica.org/congress/v1/members/G000359.json,,,USSenatorLindseyGraham,257937783228,Lindsey,/m/01_pdg,G000359,,Graham,,3,4.17,2020,R,http://www.lgraham.senate.gov/public/?a=rss.feed,15,SC,0,72,GrahamBlog,https://www.lgraham.senate.gov/public,100.00
https://api.propublica.org/congress/v1/members/G000386.json,,,grassley,106480645796,Charles,/m/020ymy,G000386,,Grassley,E.,0,0.00,2022,R,http://www.grassley.senate.gov/?q=rss.xml,37,IA,0,72,ChuckGrassley,http://www.grassley.senate.gov,95.83
https://api.propublica.org/congress/v1/members/G000555.json,www.gillibrand.senate.gov,,KirstenGillibrand,,Kirsten,/m/0gnfc4,G000555,,Gillibrand,E.,0,0.00,2018,D,,9,NY,0,72,SenGillibrand,https://www.gillibrand.senate.gov,91.67
https://api.propublica.org/congress/v1/members/G000562.json,www.gardner.senate.gov,,SenCoryGardner,160924893954206,Cory,/m/0czd33q,G000562,,Gardner,,0,0.00,2020,R,,3,CO,0,72,SenCoryGardner,https://www.gardner.senate.gov,100.00
